epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1506.46,0.32231,0.54518,0.95014,1,0.92769,0.92619,0.71682,0.74519,1.07822,1.54989,0.000424556,0.000424556,0.000424556
73,1524.49,0.35596,0.51538,0.96545,1,0.91383,0.92555,0.73099,0.73636,1.04052,1.53865,0.000410409,0.000410409,0.000410409
74,1542.71,0.34895,0.51805,0.95931,0.99074,0.92857,0.9336,0.7612,0.74367,0.96061,1.52924,0.000396262,0.000396262,0.000396262
75,1561.2,0.35429,0.48773,0.94713,0.99716,0.92857,0.95382,0.76677,0.73468,0.9345,1.51313,0.000382115,0.000382115,0.000382115
76,1579.44,0.34642,0.51273,0.9048,0.9964,0.92857,0.94219,0.74013,0.74531,0.96002,1.51167,0.000367967,0.000367967,0.000367967
77,1598.23,0.32256,0.50841,0.93795,0.99704,0.92857,0.9392,0.75497,0.79355,0.95348,1.58242,0.00035382,0.00035382,0.00035382
78,1618.45,0.28871,0.51398,0.91468,1,0.92782,0.93158,0.758,0.77523,0.96976,1.5903,0.000339673,0.000339673,0.000339673
79,1639.72,0.28069,0.4533,0.91002,1,0.92836,0.93005,0.78105,0.75743,1.00061,1.54692,0.000325526,0.000325526,0.000325526
80,1659.9,0.31006,0.50983,0.9122,1,0.92697,0.93044,0.78487,0.72909,1.00128,1.48897,0.000311379,0.000311379,0.000311379
81,1680.34,0.31099,0.56693,0.97815,1,0.92533,0.96761,0.7884,0.63665,0.99377,1.37192,0.000297232,0.000297232,0.000297232
82,1700.89,0.29204,0.46654,0.92608,0.9933,0.85714,0.96083,0.7785,0.66697,0.99315,1.3916,0.000283085,0.000283085,0.000283085
83,1718.52,0.25043,0.4359,0.91585,0.92778,0.91833,0.9592,0.78329,0.70155,0.99696,1.43023,0.000268938,0.000268938,0.000268938
84,1735.85,0.27186,0.46247,0.87333,0.98153,0.85714,0.94157,0.7373,0.72475,1.00992,1.44901,0.000254791,0.000254791,0.000254791
85,1753.08,0.29578,0.44895,0.94076,0.99914,0.85714,0.95448,0.73931,0.6557,1.00646,1.39385,0.000240644,0.000240644,0.000240644
86,1771.02,0.29708,0.4255,0.92657,1,0.84095,0.95448,0.73624,0.69536,1.02667,1.44773,0.000226497,0.000226497,0.000226497
87,1788.85,0.31215,0.57115,0.95885,1,0.83663,0.9501,0.74834,0.65653,1.01177,1.43953,0.000212349,0.000212349,0.000212349
88,1806.06,0.26815,0.47089,0.90739,1,0.84533,0.95828,0.75441,0.68813,0.98662,1.50476,0.000198202,0.000198202,0.000198202
89,1823.3,0.2603,0.42119,0.9102,1,0.84943,0.95642,0.7754,0.66532,0.95419,1.47357,0.000184055,0.000184055,0.000184055
90,1840.27,0.29236,0.43844,0.91103,1,0.85079,0.95642,0.79477,0.64986,0.93481,1.43986,0.000169908,0.000169908,0.000169908
91,1857.47,0.23107,0.84849,0.90054,0.99762,0.85714,0.91327,0.75368,0.64695,0.95118,1.40343,0.000155761,0.000155761,0.000155761
92,1874.37,0.35944,1.01757,1.02786,0.99109,0.85714,0.95854,0.74728,0.64157,1.01904,1.39214,0.000141614,0.000141614,0.000141614
93,1891.34,0.24169,0.82898,0.89318,0.9882,0.85714,0.91312,0.75616,0.6729,1.03488,1.43605,0.000127467,0.000127467,0.000127467
94,1908.29,0.28305,0.82201,0.92089,0.9849,0.85714,0.91295,0.76373,0.71086,1.02256,1.50008,0.00011332,0.00011332,0.00011332
95,1925.56,0.2254,0.61183,0.86826,0.98536,0.85714,0.90883,0.75058,0.71023,1.05405,1.49357,9.91726e-05,9.91726e-05,9.91726e-05
96,1942.61,0.2193,0.5985,0.8545,0.98251,0.85714,0.90881,0.76721,0.704,1.02966,1.52264,8.50255e-05,8.50255e-05,8.50255e-05
97,1959.65,0.22002,0.6197,0.85343,0.97834,0.85714,0.90317,0.77124,0.70855,1.03674,1.53391,7.08784e-05,7.08784e-05,7.08784e-05
98,1976.78,0.20905,0.60349,0.87197,0.97418,0.85714,0.90382,0.75053,0.70908,1.05224,1.5264,5.67313e-05,5.67313e-05,5.67313e-05
99,1993.85,0.22616,0.65012,0.85593,0.96867,0.85714,0.90369,0.7552,0.71287,1.07094,1.53908,4.25842e-05,4.25842e-05,4.25842e-05
100,2011.58,0.23366,0.67334,0.90899,0.9797,0.85714,0.90395,0.73917,0.73036,1.11361,1.55189,2.84371e-05,2.84371e-05,2.84371e-05
